Niveau,XP,DV,TAC0,MP,B,PP,S,SSB
1,0,1d6,19[0],11,12,12,15,16
2,1800,2d6,19[0],11,12,12,15,16
3,3600,3d6,19[0],11,12,12,15,16
4,7250,4d6,19[0],11,12,12,15,16
5,15000,5d6,17[+2],9,10,10,13,14
6,30000,6d6,17[+2],9,10,10,13,14
7,60000,7d6,17[+2],9,10,10,13,14
8,120000,8d6,17[+2],9,10,10,13,14
9,240000,9d6,14[+5],7,8,8,11,12
10,360000,9d6+2*,14[+5],7,8,8,11,12
11,480000,9d6+4*,14[+5],7,8,8,11,12
12,600000,9d6+6*,14[+5],7,8,8,11,12
13,720000,9d6+8*,12[+7],5,6,6,9,10
14,840000,9d6+10*,12[+7],5,6,6,9,10
